ID,SQ,SG,sex,group,BM,BH,SH,CA,dAPHV,APHV,0-10m,10-30m,0-30m,30-60m,0-60m,FOST,TH,CMJ,DJ,12MR,FJT,SUs,SUb
2,NK1,3,m,J,69.9,187.8,98.6,15.61,2.79,12.82,,,4.08,3.31,7.39,13.3,,52,2.48,,,,10
2,NK1,3,m,J,70.4,188,97.9,15.95,2.89,13.06,,,4.02,3.19,7.21,14.36,,52.5,2.34,,,,20
5,NK2,0,f,J,61.4,172,92,13.49,2.18,11.32,1.89,2.63,4.52,3.79,8.31,12.35,8.23,43.16,1.91,2280,14.25,,
5,NK2,0,f,J,64.9,175,91,15.47,3.33,12.14,1.73,2.41,4.14,3.52,7.66,12.67,9.61,48.7,2.48,2290,15.6,7,
6,LK,0,f,J,59.9,166,88,14.69,2.42,12.26,1.79,2.57,4.36,3.69,8.05,10.73,8.68,35.6,2.08,2360,15.4,7,
6,LK,0,f,J,51,162,84,13.71,1.5,12.21,1.67,2.47,4.14,3.54,7.68,11.7,9.88,44,1.96,2600,14.5,7,
7,LK,0,f,J,64.5,169,84,15.44,2.72,12.72,1.84,2.6,4.44,3.86,8.3,11.5,8.33,41.75,1.5,,14.41,,
7,LK,0,f,J,58,168,89,14.4,2.37,12.03,1.69,2.51,4.21,3.6,7.85,11.2,8.5,43.7,1.62,2650,15.05,12,5
7,LK,0,f,J,51.6,165,86,13.47,1.57,11.9,1.79,2.58,4.37,3.78,8.15,10.25,8.9,41.6,1.71,2050,14.6,,
9,LK,0,f,J,60,175,88,13.85,2.26,11.58,1.66,2.58,4.24,3.72,7.96,11.55,8.86,41.57,1.6,2100,14.9,8,
10,LK,0,f,J,51,167,88,15.48,2.83,12.65,1.9,2.46,4.36,3.55,7.91,,7.22,43.2,2.47,,,,
11,NK2,0,m,J,63,181,94,15.69,2.15,13.54,1.8,2.39,4.19,3.39,7.58,15.03,,52.25,1.85,2600,,,20
11,NK2,0,m,J,56,176,91,14.64,1.13,13.51,1.84,2.54,4.38,3.53,7.91,,,45.61,1.93,,,25,
12,LK,0,f,J,43.1,156,79,13.2,0.71,12.49,1.76,2.52,4.28,3.63,7.91,10.55,7.88,45.12,1.34,2010,14.7,,
12,LK,0,f,J,46.2,159.5,82,14.2,1.52,12.67,1.73,2.46,4.19,3.48,7.67,10.25,8.75,47.4,1.81,1520,15.05,17,2
12,LK,0,f,J,51.8,160,81,15.17,2.05,13.13,1.85,2.49,4.34,3.59,7.93,,8.83,44.77,1.67,,14.4,,
14,LK,0,m,J,55.2,176,90,13.75,0.54,13.21,1.92,2.59,4.51,3.75,8.26,10.8,8.75,41.4,1.2,2550,13.95,,
14,LK,0,m,J,61.5,183,95.5,14.74,1.81,12.93,1.69,2.49,4.18,3.53,7.71,14.2,9.43,44.8,2.07,2760,14.8,10,
14,LK,0,m,J,65.2,185,94,15.72,2.17,13.55,1.8,2.45,4.25,3.46,7.71,14.25,10.01,47.57,2.2,2600,,,
15,LK,0,f,J,61.4,175,88,13.29,1.97,11.32,1.9,2.71,4.61,4.03,8.64,12.95,8.35,41.12,1.51,2270,14.4,,
15,LK,0,f,J,64.8,175.5,89.5,14.29,2.63,11.66,1.76,2.66,4.42,3.94,8.36,12.95,8.35,39.4,2.02,2200,14.55,,
16,NK2,0,m,J,69.4,181,92,15.73,1.98,13.76,1.71,2.28,3.99,3.32,7.31,14.25,8.35,49.69,1.71,2800,17.4,,30
16,NK2,0,m,J,49.9,168.5,84.5,13.72,-0.18,13.91,1.71,2.59,4.3,3.72,8.02,12,8.65,37.6,1.43,2870,14.65,20,8
16,NK2,0,m,J,59,176,87,14.7,0.68,14.02,1.84,2.47,4.31,3.5,7.81,12.51,9.76,44.35,1.68,2905,16.64,,
17,LK,0,m,J,57,164.5,83,15.12,0.4,14.73,1.89,2.72,4.61,3.88,8.49,10.03,6.75,46.75,1.56,2150,15,,11
17,LK,0,m,J,50.1,157,79,14.09,-0.63,14.72,2.01,2.72,4.73,4,8.73,9.7,8.42,48.37,1.89,2520,14.03,,
19,LK,0,m,J,55.2,175.5,91.5,13.11,0.39,12.72,1.69,2.49,4.18,3.53,7.71,11.85,8.93,38,1.63,2810,14.6,8,
20,NK2,0,m,J,59,182,89,13.72,0.44,13.28,1.67,2.41,4.08,3.32,7.4,13.35,,,,,,12,2
21,NK2,0,m,J,74.7,190,95,15.26,2.16,13.1,1.73,2.26,3.99,3.35,7.34,16.2,8.3,44.66,1.73,2630,,21,
21,NK2,0,m,J,56.8,179,91.5,13.25,0.48,12.77,1.65,2.53,4.18,3.69,7.87,11.65,9,35.2,1.29,2565,15.4,12,
21,NK2,0,m,J,66.9,185,91,14.22,1.03,13.2,,,,,,12.6,10.45,42.78,1.08,,,,
22,LK,0,f,J,48,164,85,14.21,1.85,12.36,1.9,2.66,4.56,3.8,8.36,11,,42.23,1.64,2820,,17,
22,LK,0,f,J,58.2,166,87,16.37,3.25,13.12,1.88,2.62,4.5,3.71,8.21,12.8,8.65,41.8,1.85,2350,15.8,23,
22,LK,0,f,J,54.2,166,86,15.26,2.58,12.67,1.88,2.6,4.48,3.77,8.25,12.01,8.88,46.78,1.68,,,,
23,NK2,0,f,J,56.8,166.5,87,15.56,2.83,12.73,1.74,2.38,4.12,3.49,7.61,12.9,7.53,54.9,1.88,2450,16.6,7,
24,LK,0,f,J,58.6,163.5,88,14.64,2.31,12.33,1.8,2.53,4.33,3.74,8.07,11.28,8.51,39.8,2.54,2360,13.9,9,
25,LK,0,f,J,66.6,172,89,14.64,2.68,11.95,2.02,2.69,4.71,3.89,8.6,11.66,8.16,39.87,2.11,2480,14.12,,
25,LK,0,f,J,59.9,173,92,13.66,2.29,11.37,1.74,2.61,4.35,3.73,8.08,11.35,8.78,40.7,2.26,,14.35,15,
29,LK,0,f,J,67.3,179,78,14.9,2.43,12.47,1.82,2.67,4.49,3.89,8.38,10.8,8.28,38.95,1.43,2510,13.6,,
29,LK,0,f,J,64,177,91,14.04,2.61,11.43,1.78,2.64,4.42,3.79,8.21,12.25,9.02,35.9,1.67,2520,14.73,4,
31,LK,1,m,J,70,190,99,17.21,3.74,13.47,,,,3.12,,,9.22,,,,,,
31,LK,1,m,J,69,191,96.5,17.46,3.48,13.99,,,,,,15.53,11.94,54.7,,3380,,12,
36,LK,0,f,J,71,176,94,16.31,4,12.31,,,,3.57,,14.42,7.34,47.4,1.96,,16.08,18,
36,LK,0,f,J,75.7,176.5,95,16.56,4.21,12.35,,,,,,14.56,8.76,43.2,,,15.18,13,
