"name","es","ci_low","ci_up","beta","es_int","ci_low_int","ci_up_int"
"0-10m",-0.00552999488634076,-0.0176104589982758,0.00654116169241838,-0.0563181316232182,-0.00909203312016015,-0.0189565060650324,0.000750455704677578
"10-30m",0.00185148524817611,-0.00921903992158559,0.0130630756626876,0.017632761320512,-0.004282587307977,-0.012114555082114,0.0035456217698762
"0-30m",-0.000460190749217032,-0.0101559017068882,0.00927452581786214,-0.00475850217354991,-0.0052154238418502,-0.0127069265469085,0.00226573561436801
"30-60m",0.00481607977482156,-0.00779783992294642,0.0175578469015488,0.0353075455956642,-0.000429110558940626,-0.00933888806141102,0.00848115976516759
"0-60m",0.00325662171618605,-0.00710300442785268,0.0137164516128174,0.0293609008845897,-0.00279027191753442,-0.0102188924295538,0.00464039325916517
"FOST",0.0768124479631747,0.0528331114723905,0.100779620576069,0.289458596506665,-0.014177652939471,-0.0318866053114676,0.00350864574190775
"TH",0.0231869608963833,-0.00402903993814375,0.0504813917069731,0.0975725419213127,-0.0101800624225942,-0.0314113317817591,0.0110372768857602
"CMJ",-0.0172235457046671,-0.0461653908534473,0.0118078788033229,-0.0559472117794972,-0.0047863516165439,-0.0255731074042366,0.0160143035867908
"DJ",-0.0537680911758573,-0.102650340986175,-0.00460279045166621,-0.138949133001969,-0.0197763656379982,-0.0575956854547958,0.0179930240316057
"12MR",-0.020123086283282,-0.0464857106029568,0.00641943774860278,-0.10530823053881,0.0245221613532051,0.00377481543439902,0.0452621548770523
"FJT",0.0317255477776734,0.0116928156474785,0.0517673832421412,0.165929336594088,-0.0178010835553219,-0.0330655770759857,-0.00248697745779815
"SUs",-0.219686699626319,-0.39091311246812,-0.0480588706383977,-0.207019955455967,-0.0889589126105916,-0.222259404529681,0.043953004874512
"SUb",-0.418197522631776,-0.68044354022523,-0.154773512220745,-0.339052121129682,-0.0843959991643499,-0.309008531084696,0.144855946970234
